transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000101,2025-01-25 14:17:32,C9847,P012,Running Shoes,Apparel,3,79.99,239.97,Raleigh,Credit Card
TXN000102,2025-01-23 19:20:38,C5102,P010,BACKPACK,Accessories,1,49.99,49.99,Charleston,Debit Card
TXN000103,2025-01-24 08:48:43,C5415,P011,T-SHIRT,Apparel,5,18.0,90.0,Atlanta,Apple Pay
TXN000104,2025-01-22 10:37:27,C9056,P009,phone charger,Electronics,4,16.99,67.96,Raleigh,Cash
TXN000105,2025-01-22 18:06:54,C3634,P007, WATER BOTTLE ,Kitchen,3,19.99,59.97,Raleigh,Apple Pay
TXN000106,2025-01-26 20:35:02,C8451,P005,ballpoint pen pack,Office Supplies,4,8.49,33.96,Nashville,Cash
TXN000107,2025-01-26 14:55:32,C1018,P006,Coffee Mug,Kitchen,1,14.99,14.99,Raleigh,Credit Card
TXN000108,2025-01-22 17:48:31,C8242,P004,NOTEBOOK,Office Supplies,5,6.75,33.75,Atlanta,Cash
TXN000109,2025-01-22 15:56:44,C8941,P009,phone charger,Electronics,2,16.99,33.98,Charleston,Google Pay
TXN000110,2025-01-25 10:19:35,C1224,P013,yoga  mat,Fitness,2,29.99,59.98,Charleston,Debit Card
TXN000111,2025-01-23 09:41:53,C3522,P014,Protein Bar,Food,1,2.49,2.49,Dallas,Cash
TXN000112,2025-01-23 21:30:30,C4993,P009,Phone Charger,Electronics,3,16.99,50.97,Orlando,Debit Card
TXN000113,2025-01-24 16:47:56,C3236,P007,water bottle,Kitchen,2,19.99,39.98,Nashville,Apple Pay
TXN000114,2025-01-22 21:00:18,C5891,P006,Coffee Mug,Kitchen,5,14.99,74.95,Atlanta,Apple Pay
TXN000115,2025-01-22 13:35:48,C9903,P009,phone  charger,Electronics,4,16.99,67.96,Raleigh,Cash
TXN000116,2025-01-25 11:36:24,C4826,P014,protein  bar,Food,2,2.49,4.98,Charleston,Cash
TXN000117,2025-01-25 20:24:24,C3492,P012,Running Shoes,Apparel,4,79.99,319.96,Charleston,Debit Card
